bitarray
|   arg    |                    call                    |                                                      col2                                                      | col3 |
| args | call to PyArg_UnpackTuple | python-Levenshtein/Levenshtein/_levenshtein.c:1325:26:1325:29 |    0 |
| args | call to PyArg_UnpackTuple | python-Levenshtein/Levenshtein/_levenshtein.c:1048:26:1048:29 |    0 |
| args | call to PyArg_UnpackTuple | python-Levenshtein/Levenshtein/_levenshtein.c:976:26:976:29   |    0 |
| args | call to PyArg_UnpackTuple | python-Levenshtein/Levenshtein/_levenshtein.c:889:26:889:29   |    0 |
| args | call to PyArg_UnpackTuple | python-Levenshtein/Levenshtein/_levenshtein.c:851:26:851:29   |    0 |
| args | call to PyArg_UnpackTuple | python-Levenshtein/Levenshtein/_levenshtein.c:802:26:802:29   |    0 |
| args | call to PyArg_UnpackTuple | python-Levenshtein/Levenshtein/_levenshtein.c:721:26:721:29   |    6 |
python-llist
|      arg      |               call               |                                                 col2                                                 | col3 |
+---------------+----------------------------------+------------------------------------------------------------------------------------------------------+------+
| args          | call to PyArg_UnpackTuple        | python-llist/src/dllist.c:1775:28:1775:31 |    0 |
| args          | call to PyTuple_SetItem          | python-llist/src/dllist.c:1463:25:1463:28 |    1 |
| iterator_type | call to PyObject_CallObject      | python-llist/src/dllist.c:1470:34:1470:46 |    0 |
| args          | call to PyArg_UnpackTuple        | python-llist/src/dllist.c:1143:28:1143:31 |   24 |
| args          | call to PyArg_UnpackTuple        | python-llist/src/dllist.c:1112:28:1112:31 |   24 |
| args          | call to PyArg_UnpackTuple        | python-llist/src/dllist.c:1063:28:1063:31 |    8 |
| args          | call to PyArg_UnpackTuple        | python-llist/src/dllist.c:1009:28:1009:31 |   26 |
| args          | call to PyArg_UnpackTuple        | python-llist/src/dllist.c:978:28:978:31   |   26 |
| args          | call to PyArg_UnpackTuple        | python-llist/src/dllist.c:932:28:932:31   |    8 |
| value         | call to PyObject_RichCompareBool | python-llist/src/dllist.c:755:24:755:28   |    0 |
| value         | call to PyObject_RichCompareBool | python-llist/src/dllist.c:802:24:802:28   |    0 |
| value         | call to PyObject_Hash            | python-llist/src/dllist.c:710:45:710:49   |    0 |
| args          | call to PyArg_UnpackTuple        | python-llist/src/dllist.c:645:28:645:31   |  828 |
| self          | call to PyObject_ClearWeakRefs   | python-llist/src/dllist.c:582:43:582:46   |    0 |
| args          | call to PyArg_UnpackTuple        | python-llist/src/dllist.c:245:28:245:31   |  435 |
| args          | call to PyTuple_SetItem          | python-llist/src/dllist.c:93:29:93:32     |    1 |
| args          | call to PyArg_UnpackTuple        | python-llist/src/sllist.c:1739:28:1739:31 |    0 |
| value         | call to PyObject_Hash            | python-llist/src/sllist.c:1546:45:1546:49 |    0 |
| args          | call to PyTuple_SetItem          | python-llist/src/sllist.c:1428:25:1428:28 |    1 |
| iterator_type | call to PyObject_CallObject      | python-llist/src/sllist.c:1435:34:1435:46 |    0 |
| arg           | call to PyArg_UnpackTuple        | python-llist/src/sllist.c:910:28:910:30   |   24 |
| arg           | call to PyArg_UnpackTuple        | python-llist/src/sllist.c:846:28:846:30   |   24 |
| arg           | call to PyArg_UnpackTuple        | python-llist/src/sllist.c:790:28:790:30   |   26 |
| arg           | call to PyArg_UnpackTuple        | python-llist/src/sllist.c:736:28:736:30   |   26 |
| value         | call to PyObject_RichCompareBool | python-llist/src/sllist.c:545:24:545:28   |    0 |
| value         | call to PyObject_RichCompareBool | python-llist/src/sllist.c:592:24:592:28   |    0 |
| args          | call to PyArg_UnpackTuple        | python-llist/src/sllist.c:494:28:494:31   |  700 |
| self          | call to PyObject_ClearWeakRefs   | python-llist/src/sllist.c:348:43:348:46   |    0 |
| args          | call to PyArg_UnpackTuple        | python-llist/src/sllist.c:147:28:147:31   |  342 |
| args          | call to PyTuple_SetItem          | python-llist/src/sllist.c:75:29:75:32     |    1 |
